2516;88-100;Inowrocław;ul. Mątewska;17;\N
2517;87-600;Lipno;ul.Sierakowskiego;10 b;\N
2518;88-300;Mogilno;ul. Narutowicza;1;\N
2519;89-100;Nakło nad Notecią;ul. Dąbrowskiego;54;\N
2520;88-200;Radziejów;ul. T. Kościuszki;17;\N
2521;87-500;Rypin;ul. Warszawska;38;\N
2522;89-400;Sępólno Krajeńskie;ul. Kościuszki;11;\N
2523;86-100;Świecie;ul. Gen.Józefa Hallera;9;\N
2524;87-100;Toruń;ul. Wały gen. Sikorskiego;8;\N
2525;87-100;Toruń;ul. Towarowa;4;6
2526;89-500;Tuchola;ul. Pocztowa;7;\N
2527;87-200;Wąbrzeźno;ul. Wolności;44;\N
2528;87-800;Włocławek;ul. Zielony Rynek;11;13
2529;87-800;Włocławek;ul. Cyganka;28;\N
2530;88-400;Żnin;ul. Potockiego;1;\N
2531;21-500;Biała Podlaska;ul. Brzeska;41;\N
2532;21-500;Biała Podlaska;ul. Marszałka Józefa Piłsudskiego;3;\N
2533;23-400;Biłgoraj;ul. T. Kościuszki;94;\N
2534;22-100;Chełm;ul. Lubelska;65;\N
2535;22-100;Chełm;pl. Niepodległości;1;\N
2536;22-500;Hrubieszów;ul. Narutowicza;34;\N
2537;23-300;Janów Lubelski;ul. Zamoyskiego;59;\N
2538;22-300;Krasnystaw;ul. Sobieskiego;3;\N
2539;23-204;Kraśnik;Al. Niepodległości;20;\N
2540;21-100;Lubartów;ul. Słowackiego;8;\N
2541;20-074;Lublin;ul. Spokojna;9;\N
2542;20-109;Lublin;Plac Króla Władysława Łokietka;1;\N
2543;21-010;Łęczna;Al.Jana Pawła II;95a;\N
2544;21-400;Łuków;ul. Piłsudskiego;17;\N
1;59-700;Bolesławiec;Rynek-Ratusz;41;\N
2;59-700;Bolesławiec;ul.Teatralna;1a;\N
3;59-706;Gromadka;ul. gen. Wł. Sikorskiego;9;\N
4;59-730;Nowogrodziec;Rynek;1;\N
5;59-724;Osiecznica;ul. Lubańska;43;\N
6;59-720;Warta Bolesławiecka;Warta Bolesławiecka;40c;\N
7;58-260;Bielawa;pl. Wolności;1;\N
8;58-200;Dzierżoniów;ul. Rynek;1;\N
9;58-250;Pieszyce;ul.Kościuszki;2;\N
10;58-240;Piława Górna;ul. Piastowska;69;\N
11;58-200;Dzierżoniów;ul. Piastowska;1;\N
12;58-210;Łagiewniki;ul. Jedności Narodowej;21;\N
13;58-230;Niemcza;Rynek;10;\N
14;67-200;Głogów;Rynek;10;\N
15;67-200;Głogów;ul. Piaskowa;1;\N
16;67-222;Jerzmanowa;ul. Lipowa;4;\N
17;67-240;Kotla;ul. Głogowska;93;\N
18;67-221;Białołęka;Pęcław;28;\N
19;67-231;Żukowice;Żukowice;148;\N
20;56-200;Góra;ul. Adama Mickiewicza;1;\N
21;56-209;Jemielno;Jemielno;81;\N
