1;podlaskie;B;2000000
2;kujawsko-pomorskie;C;400000
3;dolnośląskie;D;200000
4;łódzkie;E;1000000
5;lubuskie;F;800000
6;pomorskie;G;2200000
7;małopolskie;K;1200000
8;lubelskie;L;600000
9;warmińsko-mazurskie;N;2800000
10;opolskie;O;1600000
11;wielkopolskie;P;3000000
12;podkarpackie;R;1800000
13;śląskie;S;2400000
14;świętokrzyskie;T;2600000
15;mazowieckie;W;1400000
16;zachodniopomorskie;Z;3200000
